time_stamp,node,light,sound,temp,smoke,corrected_smoke,label
22:58:54,1,1002,491,656,914,914,fire
22:58:55,1,1002,495,656,901,901,fire
22:58:56,1,1002,494,657,913,913,fire
22:58:57,1,1002,484,657,906,906,fire
22:58:58,1,1002,508,657,896,896,fire
22:58:59,1,1002,495,657,898,898,fire
22:59:00,1,1002,495,658,885,885,fire
22:59:01,1,1002,493,658,897,897,fire
22:59:02,1,1001,495,659,881,881,fire
22:59:03,1,1001,496,659,910,910,fire
22:59:04,1,1001,494,659,898,898,fire
22:59:05,1,1001,494,659,865,865,fire
22:59:06,1,1001,494,660,915,915,fire
22:59:07,1,1001,494,660,903,903,fire
22:59:08,1,1001,494,660,898,898,fire
22:59:09,1,1002,488,660,912,912,fire
22:59:10,1,1001,492,661,880,880,fire
22:59:11,1,1002,493,660,896,896,fire
22:59:12,1,1001,496,661,877,877,fire
22:59:13,1,1002,495,662,907,907,fire
22:59:14,1,1001,494,662,895,895,fire
22:59:15,1,1002,493,661,892,892,fire
22:59:16,1,1002,507,661,884,884,fire
22:59:17,1,1002,489,661,910,910,fire
22:59:18,1,1002,495,661,900,900,fire
22:59:19,1,1002,496,661,876,876,fire
22:59:20,1,1002,493,661,909,909,fire
22:59:21,1,1002,492,661,904,904,fire
22:59:22,1,1001,493,660,900,900,fire
22:59:23,1,1002,496,659,911,911,fire
22:59:24,1,1002,492,658,909,909,fire
22:59:25,1,1002,493,659,904,904,fire
22:59:26,1,1002,493,659,895,895,fire
22:59:27,1,1002,494,658,874,874,fire
22:59:28,1,1002,492,658,924,924,fire
22:59:29,1,1002,494,658,911,911,fire
22:59:30,1,1002,489,657,920,920,fire
22:59:31,1,1002,493,657,874,874,fire
22:59:32,1,,,,,,fire
22:59:33,1,1002,490,659,934,934,fire
22:59:34,1,1003,470,656,867,867,fire
22:59:35,1,1003,498,655,952,952,fire
22:59:36,1,1003,493,655,895,895,fire
22:59:37,1,1003,506,654,848,848,fire
22:59:38,1,1003,495,654,860,860,fire
22:59:39,1,1002,500,653,961,961,fire
22:59:40,1,1002,498,653,836,836,fire
22:59:41,1,1001,499,652,883,883,fire
22:59:42,1,1002,491,651,870,870,fire
22:59:43,1,1002,497,651,880,880,fire
22:59:44,1,1002,496,651,862,862,fire
22:59:45,1,1001,501,650,845,845,fire
22:59:46,1,,,,,,fire
22:59:47,1,,,,,,fire
22:59:48,1,,,,,,fire
22:59:49,1,1002,487,647,893,893,fire
22:59:50,1,1002,490,647,909,909,fire
22:59:51,1,1003,495,647,956,956,fire
22:59:52,1,1002,499,646,894,894,fire
22:59:53,1,,,,,,fire
22:59:54,1,1003,507,646,903,903,fire
22:59:55,1,1003,503,645,979,979,fire
22:59:56,1,1003,498,645,908,908,fire
22:59:57,1,1003,491,645,977,977,fire
22:59:58,1,,,,,,fire
22:59:59,1,1003,490,643,886,886,fire
23:00:00,1,1003,498,642,842,842,fire
23:00:01,1,1004,493,642,907,907,fire
23:00:02,1,1003,494,642,896,896,fire
23:00:03,1,1003,484,641,929,929,fire
23:00:04,1,,,,,,fire
23:00:05,1,,,,,,fire
23:00:06,1,1003,493,641,849,849,fire
23:00:07,1,1003,498,640,928,928,fire
23:00:08,1,1002,497,640,885,885,fire
23:00:09,1,1003,490,640,871,871,fire
23:00:10,1,1003,495,640,891,891,fire
23:00:11,1,1003,497,640,900,900,fire
23:00:12,1,1003,493,639,894,894,fire
23:00:13,1,1003,495,638,900,900,fire
23:00:14,1,1003,492,638,908,908,fire
23:00:15,1,,,,,,fire
23:00:16,1,1003,494,638,906,906,fire
23:00:17,1,1003,489,637,987,987,fire
23:00:18,1,,,,,,fire
23:00:19,1,1003,500,636,897,897,fire
23:00:20,1,,,,,,fire
23:00:21,1,1002,506,636,909,909,fire
23:00:22,1,1002,491,638,880,880,fire
23:00:23,1,,,,,,fire
23:00:24,1,1003,496,640,915,915,fire
23:00:25,1,1002,494,640,898,898,fire
23:00:26,1,1002,503,640,860,860,fire
23:00:27,1,1002,484,640,944,944,fire
23:00:28,1,1002,495,639,936,936,fire
23:00:29,1,1002,494,640,954,954,fire
23:00:30,1,,,,,,fire
23:00:31,1,,,,,,fire
23:00:32,1,1002,500,639,910,910,fire
23:00:33,1,,,,,,fire
23:00:34,1,1002,490,639,850,850,fire
23:00:35,1,1002,495,639,998,998,fire
23:00:36,1,1002,491,638,875,875,fire
23:00:37,1,,,,,,fire
23:00:38,1,,,,,,fire
23:00:39,1,1002,497,638,956,956,fire
23:00:40,1,,,,,,fire
23:00:41,1,1002,504,636,974,974,fire
23:00:42,1,1003,471,636,971,971,fire
23:00:43,1,1002,485,636,967,967,fire
23:00:44,1,1002,494,636,943,943,fire
23:00:45,1,,,,,,fire
23:00:46,1,,,,,,fire
23:00:47,1,1002,483,634,982,982,fire
23:00:48,1,1002,500,634,970,970,fire
23:00:49,1,1002,472,633,951,951,fire
23:00:50,1,1002,490,632,955,955,fire
23:00:51,1,1002,506,632,977,977,fire
23:00:52,1,1002,489,632,985,985,fire
23:00:53,1,1002,479,632,919,919,fire
23:00:54,1,1002,481,630,976,976,fire
23:00:55,1,1002,488,629,954,954,fire
23:00:56,1,1002,477,629,910,910,fire
23:00:57,1,,,,,,fire
23:00:58,1,,,,,,fire
23:00:59,1,1002,496,627,197,897,fire
23:01:00,1,1002,502,626,97,797,fire
23:01:01,1,1002,485,626,153,853,fire
23:01:02,1,1002,480,625,132,832,fire
23:01:03,1,1001,482,625,55,755,fire
23:01:04,1,1002,510,625,31,731,fire
23:01:05,1,1003,483,624,152,852,fire
23:01:06,1,1002,484,624,78,778,fire
23:01:07,1,1001,489,623,159,859,fire
23:01:08,1,1001,483,623,71,771,fire
23:01:09,1,,,,,,fire
23:01:10,1,1002,467,623,146,846,fire
23:01:11,1,1002,447,622,97,797,fire
23:01:12,1,1002,531,622,108,808,fire
23:01:13,1,1001,468,622,160,860,fire
23:01:14,1,1000,497,620,133,833,fire
23:01:15,1,,,,,,fire
