Time_Stamp,node_1,light_1,sound_1,temperature_1,smoke_1,sum 
22:52:20,10,999,508,608,425,2540
22:52:21,10,1000,500,607,402,2509
22:52:22,10,1000,494,605,525,2624
22:52:23,10,999,484,604,559,2646
22:52:24,10,1000,491,604,611,2706
22:52:25,10,1000,492,603,524,2619
22:52:26,10,999,474,601,535,2609
22:52:27,10,1000,490,601,536,2627
22:52:28,10,1000,520,601,456,2577
22:52:29,10,999,495,602,548,2644
22:52:30,10,999,500,608,501,2608
22:52:31,10,999,500,608,467,2574
22:52:32,10,999,499,608,509,2615
22:52:33,10,999,459,607,882,2947
22:52:34,10,999,515,606,847,2967
22:52:35,10,999,512,606,882,2999
22:52:36,10,999,487,604,820,2910
22:52:37,10,1000,497,604,933,3034
22:52:38,10,999,497,604,844,2944
22:52:39,10,999,492,602,885,2978
22:52:40,10,999,491,601,919,3010
22:52:41,10,999,475,600,836,2910
22:52:42,10,0,0,0,0,0
22:52:43,10,999,506,598,867,2970
22:52:44,10,999,497,597,859,2952
22:52:45,10,999,501,596,828,2924
22:52:46,10,999,500,595,834,2928
22:52:47,10,999,478,594,871,2942
22:52:48,10,999,492,594,860,2945
22:52:49,10,999,492,593,862,2946
22:52:50,10,999,516,593,865,2973
22:52:51,10,999,500,602,892,2993
22:52:52,10,999,477,599,902,2977
22:52:53,10,999,485,600,872,2956
22:52:54,10,999,460,598,920,2977
22:52:55,10,0,0,0,0,0
22:52:56,10,999,490,597,953,3039
22:52:57,10,999,545,596,849,2989
22:52:58,10,999,490,595,860,2944
22:52:59,10,999,479,595,843,2916
22:53:00,10,999,447,596,807,2849
22:53:01,10,999,509,595,826,2929
22:53:02,10,0,0,0,0,0
22:53:03,10,0,0,0,0,0
22:53:04,10,999,504,596,876,2975
22:53:05,10,999,500,600,834,2933
22:53:06,10,0,0,0,0,0
22:53:07,10,999,490,599,870,2958
22:53:08,10,999,489,600,854,2942
22:53:09,10,1000,500,602,865,2967
22:53:10,10,1000,493,607,923,3023
22:53:11,10,1001,497,608,994,3100
22:53:12,10,1000,502,614,881,2997
22:53:13,10,1000,488,614,830,2932
22:53:14,10,1000,490,614,913,3017
22:53:15,10,999,491,615,873,2978
22:53:16,10,999,492,616,844,2951
22:53:17,10,999,493,616,901,3009
22:53:18,10,999,487,617,946,3049
22:53:19,10,999,502,617,895,3013
22:53:20,10,999,496,616,901,3012
22:53:21,10,999,496,617,904,3016
22:53:22,10,999,500,617,910,3026
22:53:23,10,999,486,618,915,3018
22:53:24,10,999,491,619,756,2865
22:53:25,10,999,490,618,856,2963
22:53:26,10,999,496,618,835,2948
22:53:27,10,999,487,618,896,3000
22:53:28,10,999,495,618,898,3010
22:53:29,10,999,497,619,875,2990
22:53:30,10,999,493,619,862,2973
22:53:31,10,999,495,618,867,2979
22:53:32,10,999,489,618,861,2967
